Ahimsaa Research Foundation,"Eastern Zone Office, 46, Strand Road",Kolkata,ahimsa@cal2.vsnl.net.in,"91-33-2385449, 91-33-2326572",,NOT AVAILABLE,"Environment, Forestry"
AHVAN,"Block – D, 2, 98, Karaya Road",Kolkata,,91-33-2403994,,NOT AVAILABLE,"Child welfare, Education, Training"
AFT – Amanat Foundation Trust,"25, Bright Street",Kolkata,amanatfoundation@yahoo.com,91-33-22892138,,NOT AVAILABLE,Promoting health education and poverty alleviation.
Aim India Foundation,"41, Ballygaunge Terrace",Kolkata,info@aimindia.org.in,NOT AVAILABLE,98300 52952,,"Adolescent Girls Welfare, Child Welfare, Community Development, Education, Health."
AESTHETICS,"458, P.K. Guha Road, Nirmal Apartment, Dum Dum",Kolkata,ssgcal06@gmail.com,91-33-65452557,91-90380 82041,NOT AVAILABLE,Serving the Society.
Akabpur Sammelani,"Akabpur, Nadanghat",Burdwan,akabpursammelani@gmail.com,"91-3472-240911, 91-3454-260250","91-99331 44843, 91-94344 28711",NOT AVAILABLE,"Ducation, health, women empowerment, child development, rural development, agriculture."
Aim Seven,"Santinagar, Madanpur",Nadia,aimseven@rediffmail.com,91-33-25927480,,NOT AVAILABLE,Welfare project for underprivileged children of rural areas.
Aims Social & Welfare Society,"115/B Street 23, Chittaranjan",Burdwan,a.i.m.s@gmail.com,91-341-2529622,91-93343 44505,NOT AVAILABLE,
Al Ameen Association for Distressed People,"20 Dum Dum Road, Police Housing Est. K2/5",Kolkata,mohaseen_smeh@yahoo.co.in,91-33-65123994,91-90510 71711,NOT AVAILABLE,"Welfare for distressed, health, education."
Al Amin Onath Foundation,"Fatepur, Tajnagar, Sutahata",East Medinipur,alaminonathfoundation.haldia@gmail.com,NOT AVAILABLE,89268 36760,,"Agriculture, Animal Health, Art And Culture, Cancer Patients Help, Corporate Social Responsibility, Education, Energy, Environment, Grants/Aids, Health, Human Development, Old Aged Welfare, Rural Development, Self Help Groups, Sericulture, Social Awareness, Society And Economy, Right To Information, Youth."
Akanksha – 2002,"Babu Para,",Jalpaiguri,sk_deep@rediffmail.com,91-3561-231942,91-94340 18659,NOT AVAILABLE,
Alhikma Foundation India,"Negon Chati, Katwa-Burdwan Road, Shimuliadanga",Burdwan,alhikmafoundation.india@gmail.com,NOT AVAILABLE,"94748 80657, 94340 29805",03453-268311,Social Work
Al-Kawsar Educational & Welfare Trust,"Kashimnagar, Murarai",Birbhum,,,91-97323 02131,NOT AVAILABLE,Educational progress
Alipurduar Sahayata Social Welfare Society,"Sanyal House, Puranbazar",Alipurduar,asanyal32@gmail.com,91-3564-274611,91-92323 43409,NOT AVAILABLE,"Education, health"
All Bengal Renal Failure & Transplant Welfare Association,"90, Dr. Lal Mohan Bhatta, Charjee Road",Kolkata,abrftwa@yahoo.com,91-33-22650482,91-94337 19851,NOT AVAILABLE,"Help to poor kidney patients. As you are aware that treatment of kidney disease is highly expensive and a major cause of death in world. More than 30,00,000 people die each year because of kidney related disease. It is trauma that once kidney fail or stop working completely then treatment is dialysis or kidney transplant both are highly expensive. In this difficult stage a non-profit social organization an all Bengal renal failure and transplant welfare association has come forward to help people by making awareness about early detection of kidney by doing the free kidney check-up camp, providing medicine in subsidized cost, giving them a moral support and a boost health care system by counseling them about kidney disease and how prevent, doctor visit and rehabilitation related activities etc."
All Bengal Mass Education & Development Association,"200 G, Shyama Prasad Mukherjee Road",Kolkata,,91-33-5552397,,NOT AVAILABLE,"Development(General), Education"
All Federation for Human & Democratic Protection,"25/1-B, B.M. Banerjee Road",Kolkata,mother_partha_babai@yahoo.co.in,,91-94325 05550,NOT AVAILABLE,Develop human rights.
All Bengal Womens Union,"89, Elliot Road",South 24 Parganas,abwuhome@yahoo.com,91-33-22293292,91-98305 65778,NOT AVAILABLE,"child development, women empowerment, old age care."
All Backward Class Relief & Development Mission,"17-A, Girish Chandra Bose Road",Kolkata,abcrdm@hotmail.com,91-33-22848423,,NOT AVAILABLE,"Micro-credit, hospital service, ambulance service, sanitation, awareness programme, health service."
Albatross Foundation,"30, APC Road",Kolkata,albatrossfoundation@outlook.com,NOT AVAILABLE,90881 08224,033-25712102,Social Work.
All India Council for Mass Education & Development,"60, Patuatola Lane",Kolkata,aicmed@cal.vsnl.net.in,"91-33-2411778, 91-33-2195002",,NOT AVAILABLE,"Child welfare, Disaster management, Economics and Finance, Education, Environment, Forestry, Health, Population, Rural Development, Science and Technology, Training, Tribal issues, Water, Women’s issues"
Alliance Foundation For Humanity And Education,Bajeprotappur,Burdwan,alliancefoundation23@gmail.com,NOT AVAILABLE,99321 12912,,"Advocacy On Social Issues, Agriculture, Child Labour, Child Rights, Corporate Social Responsibility, Development (General), E-Governance, Economics And Finance, Education, Employment, General – Social Welfare, Health, Human Rights, Law, Legal Awareness, Local Self Governance (Panchayati Raj), Micro-Enterprises, Ngo Management, Old Aged Welfare, Rural Development, Sanitation, Science And Technology, Self Help Groups, Social Awareness, Sustainable Development, Right To Information, Trafficking Of Women, Urban Development, Volunteers."
All India Women’s Conference,"B-248, Laketown Forest Nursery,",East Kolkata Constituency,aiwcecc_laketown@vsnl.net,"91-33-25346072,",91-99031 68718,NOT AVAILABLE,Rural development
Amara Sabai,"Kailaspur, Mathurapur Block-II",South 24 Parganas,amarasabai@hotmail.com,,91-94342 45953,NOT AVAILABLE,Community development
Amarpally Nabo Disha Society,"319/29, Jessore Road",Kolkata,amarpallynabodishasociety@gmail.com,NOT AVAILABLE,80170 09700,,"Education Sponsored Reference Books, Copies, School Uniform, School Fee’S, Tuition Fees."
All India Women’s Conference,"662/1 Block O, New Alipore",Kolkata,diyaguha@hotmail.com,91-33-4009413,,NOT AVAILABLE,"Child welfare, Education, Health, Women’s issues"
Amaan Minority Trust,"Sonakole, Baghua, Harishchandrapur",Malda,amaan.mrt.trust@gmail.com,NOT AVAILABLE,97341 25310,,Social Work
An Institute Of Charming Career & Smart Education,"Anandaganj, Chakdaha",Nadia,ms.niloy@gmail.com,NOT AVAILABLE,75018 19518,,"Art And Craft, Art And Culture, Disadvantaged Communities, Distance Learning, E-Governance, E-Learning, Economics And Finance, Education, Employment, Energy, Environment, Governance, Human Development, Human Rights, Information And Communications Technology, Infrastructure, Ngo Management, Right To Information, Women Development/Welfare, Women’S Issues, Youth."
Ananda Samiti,"18 B, Lansdowne Terrace",Kolkata,,91-33-4640144,,NOT AVAILABLE,"Child welfare, Education, Employment, Micro-enterprises, Training"
An Association for Social Welfare,"Bd-390, Salt Lake, City Sec-I",Kolkata,elixer.forwelfare@gmail.com,,91-98303 51696,NOT AVAILABLE,Enlightenment and upliftment of minority groups.
Anirban Welfare Society,"Krishna Bazar, Memari",Burdwan,anirbanwelfaresociety@gmail.com,NOT AVAILABLE,89260 22380,0342-2261023,"Development/Welfare, Youth Plantation and Poor Help."
Anirban Welfare Society,"62/1, Sarada Chatterjee Lane, Kadamtala",Howrah,anirbanwelfare@rediffmail.com,NOT AVAILABLE,"90512 63866, 9903 727222",,"Anti Drug Campaign, Awareness Generation, Cultural Issues, Development (General), Disability, Environment, Grants/Aids, Health, Human Rights, Medical Relief, Minorities, Old Aged Welfare, Physically Disabled, Plantation, Pollution, Poverty, Sanitation, Self Help Groups, Shelter Home, Trafficking Of Women, Training, Women Development/Welfare, Youth."
All Bengal Women’s Union,"89, Elliot Road",Kolkata,abwu@cal2.vsnl.net.in,91-33-2293292,,NOT AVAILABLE,"Education, Training, Women’s issues"
Ananyaa Societies,8,Kolkata,sksanjibkonar@gmail.com,91-33-64172470,"91-99033 69926, 91-98364 21005",NOT AVAILABLE,Social work
Ananda Marga Universal Relief Team,"527, V.I.P. Nagar",Kolkata,narayanananda100@hotmail.com,91-33-2345-2226,91-93308 94422,NOT AVAILABLE,Provide relief to all sorts of natural calamities and man-made disaster.
Anisha Counselling Centre,"51, Chowringhee Road",Kolkata,s_anisha2000@yahoo.com,"91-33-22820302, 91-33-22826340",,NOT AVAILABLE,"Education, Health"
ANNAYATA,"12 BBD Bag, 3rd Floor",Kolkata,ccjasam@rediffmail.com,,91-98312 08715,NOT AVAILABLE,
Amarabati Social Welfare & Development Society,"20 Municipal Market, Jalpaiguri",Jalpaiguri,amarabatisujit@yahoo.co.in,,91-94331 52004,NOT AVAILABLE,To set up a oldage home and medicare centre in village.
Anu Computer Academy,"Parbatichak, Mansuka, Ghatal",Paschim Medinipur,info@aite.in,NOT AVAILABLE,78669 71421,03225-244023,Social Work.
Ankur Kala,9,Kolkata,ankurkalacal@yahoo.com,91-33-22478476,,NOT AVAILABLE,"Education, employment, human rights, women’s issues."
Antyodoy Anath Ashram,"Paushi, Bhupatinagar",Purba Medinipur,antoday.ashram@gmail.com,NOT AVAILABLE,"99326 71081, 85368 35042",,"Agriculture, Art And Craft, Child Labour, Child Rights, Child Welfare, Disaster Management, Governance, Health, Medical Relief, Old Aged Welfare, Orphanage, Rural Development, Sanitation, Self Help Groups."
Anuprerona Welfare Society,"112/A, Balaram Dey Street, Jorasanko, Girishpark",Kolkata,anuprerona_welfaresociety@rediffmail.com,,91-97487 68472,NOT AVAILABLE,"Serving people, microfinance, old age, eunuch welfare."
Annabhau Sathe Foundation,"2, Basunagar, Madhyamgram",Kolkata,paam06wb@yahoo.co.in,91-33-25385165,,NOT AVAILABLE,Pratitioners association of alternative medicine.
Anweshaa Development Society,"Kameswary Road, Subhaspally (Maszid Complex)",Cooch Behar,anweshaads@yahoo.in,91-3582-227485,,NOT AVAILABLE,Development for womens.
Anugyalaya Darjeeling Diocese Social Service Society,"RCDC, Hayden Hall, 42 Ladenla Road",Darjeeling,rcdcdorg@sancharnet.in,91-354-2255894,,NOT AVAILABLE,"Development(General), Disability, Disadvantaged communities, Disaster management, Economics and Finance, Environment, Health, Plantation, Poverty, Rehabilitation, Rural Development, Sanitation, Self Help Groups, Sericulture, Sustainable Development, Training, Tribal issues, Urban Development, Water, Women’s issues, Youth"
APIL – Association for Peoples Initiatives for Liberation,"2, Sukea Row",Kolkata,apilindia@gmail.com,,91-98316 91041,NOT AVAILABLE,"Education, health, child development and women development in urban area"
APMG – Academy of Pharmacy Management & Guidance,"56/1, BRB Bose Road",Kolkata,apmgkol1@yahoo.com,91-33-22257248,,NOT AVAILABLE,Philanthropic activities.
Anwesha Ekabinsha,"Saintal Saintal, Debra",West Midnapore,anweshaekabinsha@gmail.com,,91-98302 33369,NOT AVAILABLE,
Anudip Foundation for Social Welfare,"FD – 286, Sector III, 2nd Floor",Kolkata,gnatesan@anudip.org,91-33-23377406,,NOT AVAILABLE,Livelihood opportunities.
Aradhana Social & Development Organisation,"3, Nabin Sen Pally, Nabapally, Barasat, Kolkata",North 24 Parganas,aradhanasdo03@gmail.com,NOT AVAILABLE,98303-01917,033-25241763,"Group Promotion, Health, Hiv/Aids, Old Aged Welfare, Self Help Groups, Social Awareness, Trafficking Of Women, Training, Women Development/Welfare, Women’S Issues, Youth."
ARMSWS – Amjam Radhamadhab Social Welfare Society,"Amjam, Kharika Mathani",Paschim Medinipur,armsws@gmail.com,91-99328 25981,,NOT AVAILABLE,
Art Trust,"B-32, Alaka Appartment, Tipu Sultan Road",Kolkata,arttrust2008@gmail.com,91-33-24669268,,NOT AVAILABLE,Art and culture
Arunachal Greenhand,"Purnachandra Road, Hatiara, Baguiati",Kolkata,greenhand_org@yahoo.in,NOT AVAILABLE,90075 12518,,"Advocacy On Social Issues, Anti Drug Campaign, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Consumer Issues, Cultural Issues, Education, Environment, Food And Nutrition, General – Social Welfare, Health, Hiv/Aids, Human Rights, Library, Pollution, Sanitation, Social Awareness, Trafficking Of Women, Training, Women Development/Welfare, Women’S Issues, Youth."
Anirban Rural Welfare Society,"Bhadura, Gondia",South 24 Parganas,info@anirban.org.in,,91-98303 89745,NOT AVAILABLE,
APAN – Association for Poverty Alleviation Network,"721, Purbapally Kalikapur",Kolkata,dhali_81@yahoo.co.in,91-33-24169508,,NOT AVAILABLE,Economical & social improvement the society.
Aries Probono Publico Society,"3, Canal Street, 3rd floor, Loknath Apartment",Kolkata,aiceapps@yahoo.com,91-33-22273107,,NOT AVAILABLE,
Asansol Jeevan Ka Aadhar,"85 Asansol, Asansol",Asansol,sanjay_trivediin@yahoo.co.in,,"91-93322 34275, 91-98004 43747",NOT AVAILABLE,"Social work, awareness, developments."
Arogya Sandhan Santoshpur,"2, R.K.Sarani, Eastern Park, Santoshpur",Kolkata,arogyasandhan@gmail.com,91-33-24161465,,NOT AVAILABLE,Health care and protection of lives of disabled persons.
Asansol Town Netaji Educational & Welfare Society,"175, K.T. Road",Burdwan,neyaz_ahmed2000@yahoo.com,,91-98321 26433,NOT AVAILABLE,Non profitable society.
Asansol Cambridge Education Society,"Dewani Court, Opp. NCC Camp",West Bengal,aces_education2003@rediffmail.com,,91-98321 63307,NOT AVAILABLE,Education
ASHA – Affection Society for Human Advancement,"Putiadaha, Block- Simlapal",Bankura,asha_ngo_india@yahoo.co.in,,91-94335 38998,NOT AVAILABLE,Social welfare
Aranyaj Society for Educational & Environmental Development,"Nandankanon, Dhalipara, Teghoria, Hatiara",Kolkata,aranyajseed@gmail.com,91-33-25733052,91-93310 71493,NOT AVAILABLE,Better Environment
Ashadip Medical And Social Welfare Association,Sabang,Paschim Medinipur,ashadipmedical@gmail.com,NOT AVAILABLE,97326 12485,03222-249076,Social Work.
ASHRAY,"Ashiyana, Kolkata",Kolkata,bibhas@bibhas.org,,91-97652 82291,NOT AVAILABLE,Help the needy people.
Ashram Krira Samannay & Janakalyan Samiti,"Bhubannagar, Kakdwip",South 24 Parganas,surajitdas060@gmail.com,NOT AVAILABLE,973352 3419,,"Awareness Generation, Cultural Issues, E-Governance, General – Social Welfare, Governance, Social Awareness, Youth."
Ashutosh Institution,"14, Rahim Ostagar Road",Kolkata,,91-33-24731911,,NOT AVAILABLE,Disability
Asian Mission Foundation,"Chuapukur, Sagia, Lalgola",Murshidabad,asianmissionf.trust@gmail.com,NOT AVAILABLE,97752-08903,03483-244288,"Child Welfare, Education, General – Social Welfare, Health, Minorities, Old Aged Welfare, Traditional Activist (Guni) Mobilisation."
Ashok Kumar Prasad,"17/27, Hat Lane",Howrah,ashok_arbind@rediffmail.com,,91-96741 14846,NOT AVAILABLE,Social work
ASMA – Association for Supporting Marginalized Aspirations,"55 G – 49, IIT CAMPUS",West Midnapore,asma.iitkgp@gmail.com,,"91-94347 09866, 91-94345 08798",NOT AVAILABLE,Provide education to the underprivileged children.
Association For Social And Health Advancement,"Be 135, Sector – I, Salt Lake, Kolkata",North 24 Parganas,ashacal@cal3.vsnl.net.in,NOT AVAILABLE,94330 16011,033-23595475,Social Work.
Association of Relief & Community Aid,"12-02-2001, Bhatterjee Para Lane",Kolkata,arca_in2005@yahoo.co.in,,91-98300 41083,NOT AVAILABLE,
Asha Bhavan Centre,"Kathila, Banitabla, Uluberia",Howrah,abcindia.sukeshi@gmail.com,91-33-26613196,,NOT AVAILABLE,"Disabled, education, health, emergency relief."
Association for Social Health in India,Kolkata,Kolkata,,"91-33-24711599, 91-33-24730233",,NOT AVAILABLE,"Development(General), Women’s issues"
Astha Social Development & Training Center,"181, Alipore Main Road",Belgharia,astha.socialdevelopment@gmail.com,,91-94331 64128,NOT AVAILABLE,
ASK – Awareness Society of Kamarhat,"41, Anwar Bagan, Kamarhati",North 24 Parganas,ask.info@yahoo.com,,"91-98830 72535, 91-91432 14105",NOT AVAILABLE,"awareness on education, health, environment, child development and old age care."
Atbati Sarada Nari Sangathan,"Atbati, Purba Medinipur",Purba Medinipur,avym1978@yahoo.com,91-3220-230001,,NOT AVAILABLE,Teaching
ASWASAN – Adibasi Social Workers Association for Social Action Network,"C/o Bhim Murmu, Champakiari, Kenduadih",Bankura,"kpanchanan94@gmail.com, aswasan_bnk@rediffmail.com",,"91-97322 21867, 91-94307 30976",NOT AVAILABLE,Receiving current information and govt. notifications related to develop and welfare project/schemes.
Aura Foundation,"304-E/2/1, Bagmari Road, Kolkata",Kolkata,aurafoundationkolkata@gmail.com,NOT AVAILABLE,98304 52593,,"Adolescent Girls Welfare, Education, Employment, Gender, Health, Hiv/Aids, Social Awareness, Waste Management, Women Development/ Welfare."
Avant – Garde,"Socio Economic Mission, Siliguri",Darjeeling,avant_garde@rediffmail.com,,91-98513 18515,NOT AVAILABLE,Sugetion for fund rising.
Asansol Unicom Institute of Technology,"T.P. Market Road, Asansol",Burdwan,unicomcare@gmail.com,91-3413-262448,91-93331 05803,NOT AVAILABLE,"Education, health, women empowerment, child development, rural development, disability, old age care."
Avimat Opinion,"23 A, Baidyaapara, Halisahar",North 24 Parganas,abhimat_opinion@yahoo.com,91-33-25886045,91-97485 91172,NOT AVAILABLE,Human rights activities.
Atin’S Anti-Obesity Diabetes Foundation,"Ghoshpara, Kumarpara, Maheshtala",Kolkata,physioatin@rediffmail.com,NOT AVAILABLE,98313 16829,,"Adolescent Girls Welfare, Cancer Patients Help, Disability, Food And Nutrition, Health, Rehabilitation, Social Awareness, Women Development/Welfare, Yoga Mission Obesity Diabetes Free India, Obesity Treatment, Courses On Obesity, Post Training Employment Generation, Awerness About Obesity Diabetes, Make More Obesity Consultant, Make Slimming Center In Municipal Corporation, Rural Area Etc."
B-Sheed,"F-7, Mandir Park",Birati,bsheed_birati@yahoo.co.in,,91-92318 68929,NOT AVAILABLE,To get proper project & fund.
Avlokan Development India Centre,"Health Point, Diagnostic Center, Rasik Ganja, Ukil Para",Bankura,info.mail@avlokanindia.org,NOT AVAILABLE,80010 51890,,"Agriculture, Awareness Generation, Child Rights, Development (General), Education, Environment, General – Social Welfare, Health, Human Development, Legal Awareness, Local Administration, Medical Relief, Natural Resource Management, Ngo Management, Public Administration, Social Awareness, Tribal Development, Tribal Issues, Urban Development, Volunteers, Water, Women Development/Welfare."
Avibakti,Patherbaria,South 24 Parganas,avibakti@gmail.com,NOT AVAILABLE,90511 64805,033-24958840,"Advocacy On Social Issues, Anti Drug Campaign, Art and Craft, Art and Culture, Child Labour, Child Rights, Child Welfare, Community Development, E-Governance, Economics and Finance, Orphanage."
ASTHA,"22/B, Ananda Palit Road, Entally",Kolkata,e_astha@yahoo.co.in,91-33-65191321,91-94333 25188,NOT AVAILABLE,"Education, health, micro finance."
Baduria Ashar Alo,"2, Gulab Kunj, Deshbondhu Road, Harish Nagar, Madhyamgram",24 Parganas,baduriaasharalkol@gmail.com,NOT AVAILABLE,78900 15366,033-27064041,"Education, Health, Medical Relief, Social Awareness, Training We Have Other Purposes Also To To Take Continual Programme Of Survey."
Bagala Sundari Memorial Trust,"P-271, Basunagar, Madhyamgram",Kolkata,bsmtngo@gmail.com,91-33-25385706,91-97487 70251,NOT AVAILABLE,"Education, health, public awareness, protection of women and child, disability, ambulance etc."
Bagaria Relief Welfare Ambulance Society,"Bagaria, South 24 Parganas",South 24 Parganas,brwas@hotmail.com,91-3174-256595,,NOT AVAILABLE,Social welfare
Bagmari Vidyasagar Society For Rural Development,"Paniparul, Egra",Purba Medinipur,bvsrd.vidyasagar@gmail.com,NOT AVAILABLE,"94330 67223, 97329 61272",,"Education, Employment"
Association for Poverty Alleviation Network,"721, Purbapally Kalikapur",Kolkata,dhali_81@yahoo.co.in,91-33-24169508,,NOT AVAILABLE,Economical & social improvement the society.
Baguiati Sanskritik Seva Sadan,"DA 9/4, Niranjan Apartment",Kolkata,skej11@gmail.com,,91-97487 39117,NOT AVAILABLE,To faster the spirit of brother hood.
Bahadurpur Sabuj,"Bahadurpur, Bhupatinagar",Purba Medinipur,udoy_123@yahoo.co.in,91-33-24656230,91-90514 50627,NOT AVAILABLE,Education and health.
Badu Rural Welfare Society,"Near Badu, Thakurpukur",Kolkata,brw.society@outlook.com,NOT AVAILABLE,98304 12206,033-25260697,"Art And Craft, Education, Employment, Fair Trade, Forest Management, Livelihood, Micro-Enterprises, Old Aged Welfare, Pollution, Rural Development, Science And Technology, Self Help Groups, Training, Wildlife, Youth."
Bagpara Mohar,"41/5 A, Pgh Shah Rd.",Kolkata,moharindia@yahoo.com,91-33-24247208,91-98313 95569,NOT AVAILABLE,"Education, health, NRM, water, women empowerment, child development and rural development."
Badulara Dishari Society,"West Sanabandh, Bankura",Bankura,dishari_bankura@rediffmail.com,91-324-2243026,,NOT AVAILABLE,NGO affilation.
Bagala Sundari Memorial Trust,"P-271, Basunagar",Madhyamgram,"bsmtngo@gmail.com, bagalasundarimemorialtrust@yahoo.co.in",91-33-25385706,,NOT AVAILABLE,"Education, cultural development & social welfare."
Bam Battla Vivaknanda Educational Training Center,"Bam, Joteram",Burdwan,ulkundakamol@gmail.com,91-342-3208308,91-91531 67129,NOT AVAILABLE,
Bagula Happy Society,"Bagula, Nonaganj Rd",Nadia,bagula.happysociety@gmail.com,NOT AVAILABLE,89264 49162,,"Adolescent Girls Welfare, Anti Drug Campaign, Awareness Generation, Child Labour, Child Rights, Child Welfare, Education, Legal Awareness, Social Awareness, Trafficking Of Women, Training, Youth Protect And Fight Against Human Trafficking, Child Labor, Childhood Safeguard, Child Education."
Baikunthapur Tarun Sangha,"Baikunthapur, Joynagar",South 24 Parganas,btsruraloffice@gmail.com,NOT AVAILABLE,97335 24070,033-24277860,"Adolescent Girls Welfare, Agriculture, Awareness Generation, Ayurveda, Blindness, Cancer Patients Help, Child Labour, Child Rights, Child Welfare, Climate Change, Community Development, Corporate Social Responsibility, Cultural Issues, Development (General), Disaster Management, E-Learning, Education, Employment, Energy, Environment, Food and Nutrition, Forest Management, Gender, General – Social Welfare, Health."
Bamonerchak Rural Development Society,"Jaynagar, Mozilpur",South 24 Parganas,madhusudan_sardar@yahoo.in,,91-97328 80921,NOT AVAILABLE,
Balia Vivekananda Seva Society,"38, Sonarpur, Kounik Society",Kolkata,trackindia@gmail.com,,91-98831 39430,NOT AVAILABLE,Social service
Banchbo Socio Cultural Association,"54, Barada Avenue, Garia",Kolkata,banchbo@gmail.com,"91-33-65160058,91-93310 36206",91-99033 88556,NOT AVAILABLE,"Education, health, geriatric care, rural development, disaster management, cultural activities."
Bamanbarh Sbangan,"Baanbrh, Teghari",Purba Medinipur,maniklalberamet@gmail,,91-97482 81351,NOT AVAILABLE,"Water, health, education."
Bangalpur Nibedita Welfare Centre,"Bangalpur, Bagnan",Howrah,bnwc123@gmail.com,91-3214-267749,91-98306 51185,NOT AVAILABLE,
BANDHAN,"7/A, Gokhale Road",Kolkata,ranjitbandhan69@rediffmail.com,,,NOT AVAILABLE,
Bangiya Shishu Bikash Sangathan,"Amtala, Kanyanagar",South 24 Parganas,shishu_halder@yahoo.co.in,,91-94334 54608,NOT AVAILABLE,
