Department of Education,"Central Tibetan Administration, Gangchen Kyishong",Kangra,education@gov.tibet.net,NOT AVAILABLE,,"91-1892-222721, 91-1892-223481",Education
DIGNITY,"C/O Swastika Computers, Entry Gate UHF Nauni",Solan,p2anup@yahoo.com,NOT AVAILABLE,91-94180 60279,91-179-2229911,Natural resource management & community development.
District Padma Chhokharling Bodh Tibetian Gompa Association Bhanodi,Chamba,Chamba,bhanodigompa@gmail.com,NOT AVAILABLE,91-94180 10622,,Preservation and conservation of oldest gompa 150 year old.
Divya Yog Research Foundation,"Divya Kunj, New Totu",Shimla,Divyainstitute@Gmail.Com,NOT AVAILABLE,91-94180 07860,91-177-2838001,"Education, health."
E.Q Link,"Burn Side, Shimla",Shimla,eqlinkhp@gmail.com,NOT AVAILABLE,91-98169 25555,,Routine and emergency healthcare for the elderly.
EKLAKSHAY,"434/1, Ground Floor, Below Degree College Ground",Hamirpur,eklakshay@gmail.com,NOT AVAILABLE,91-94180 24629,,"Safety, human right, development."
Friends Help and Development Club,"Nihal, Bamta, Sadar",Bilaspur,fhdc704@rediffmail.com,NOT AVAILABLE,"96258 41264, 98170 11863, 98050 55585",,"Awareness Generation, Self Help Groups Work for Needy, Poor and Weaker Section of the Society."
Galaxy International Education & Reserch Foundation,"Head Office Nagrota, Railway Road, Jawli, Surian",Kangra,drgulshank@gmail.com,NOT AVAILABLE,,91-1893-265777,Education
Education Society for Information Technology,"Hari-Sadan, Near SJVN Ltd.",Shimla,hpiit_veeru@sify.com,NOT AVAILABLE,91-92187 27599,,Development & welfare of children and women.
Global Welfare Society,"Dashmal, Dimmi, Bhoranj",Hamirpur,neeraj.rana@sify.com,NOT AVAILABLE,91-97803 05503,,To guide the people about global warming.
Gramin Sewa Ashram,"Bhawarna, Palampur",Kangra,gsapalampur@gmail.com,NOT AVAILABLE,98163 33513,01894-247136,"Economics And Finance, Education, Employment, Energy, Environment, Herbal Medicine, Plantation, Rural Development, Tribal Development, Waste Management, Water, Women Development/Welfare."
Gramin Vikas Yubak Mandal,"Dak, Dhar Chandna, Chopal",Shimla,munishkaundal@yahoo.com,NOT AVAILABLE,,,"Education, water & development."
Grameen Vikas Evam Paryavaran Jagran Samiti,"Heerpur, Sirmour",Sirmour,c.jsingh1@gmail.com,NOT AVAILABLE,91-97592 75613,,R & D
Gramin Vikas Evam Kalyan Sansthan,"Kanol, Chanour, Dehra",Kangra,graminvikaskanol@gmail.com,NOT AVAILABLE,78074 62290,,"Livelihood, Micro-Enterprises, Rural Development, Self Help Groups, Sustainable Development, Training."
Grand Orgnization for Youth,Sirmour,Sirmour,sachinpandit1979@gmail.com,NOT AVAILABLE,,91-1702-223962,Jan Kalyan
H.P. Human Welfare Organisation,"Bhajogi, Gurudwara Road",Kullu,hphwo@rediffmail.com,NOT AVAILABLE,91-93189 95777,,Education to down trodden people and children of migratory labourer.
Gram Vikas Samiti,"Shanti Niketan Building, Near BCS, Himfed",Shimla,prerna_himanchal@yahoo.co.in,NOT AVAILABLE,,,"Rural development, environment protection, water conservation & income generation for women & youth."
Gunjan Organisation for Community Development,"Near Gurkha Bhawan, Shamnagar, Dharmsala",Kangra,gunjandma@yahoo.co.uk,NOT AVAILABLE,,91-1892-224255,
Hamir Rural Development Society,"Sharma Niwas, Dulehra",Hamirpur,panditmanoj2008@yahoo.com,NOT AVAILABLE,91-94180 46802,,Raising funds
Heaven On Earth NGO,"Behind DPS School, Nasogi",Manali,heavenonearth.ngo@gmail.com,NOT AVAILABLE,,"91-1902-205032, 91-1902-251151",Animal welfare
Him Aishwary Gramin Udyog Avam Laghu Bhachat Kalyan Sangh,"Gurudwara Road, Near D.A.V. Public School Dhramshala",Kangra,punam_jitender@yahoo.co.in,NOT AVAILABLE,"91-94189 71025, 91-94189 71022",,"Micro finance, loaning, labour union, free child education, women rights, free medical programmes."
High-Tech Education & Welfare Society,"Purthi, Pangi",Chamba,hightechngohimachal@gmail.com,NOT AVAILABLE,89882 81433,0189-7244086,"Adolescent Girls Welfare, Agriculture, Anti Drug Campaign, Child Labour, Distance Learning, Economics And Finance, Employment, Forestry, Governance, Herbal Medicine, Human Development, Human Rights, Indigenous Knowledge, Media, Orphanage, Society And Economy, Training, Tribal Development, Tribal Issues, Urban Development, Wildlife, Women Development/Welfare, Women’S Issues, Youth."
Gurukul Bahumukhi Shiksha Sanstha,"Bhutti Colony, Shamshi",Kullu,gurukul_ngo@rediffmail.com,NOT AVAILABLE,91-93188 02389,,Awareness campaign
Himachal Laghu Udyog Kalyan Sangh,"Sarotry Complex, Near Shukla Nursing Home",Dharamshala,pkagvs_khn@yahoo.co.in,NOT AVAILABLE,91-94185 66593,,
Himachal Gram Jan Sansadhan Vikas Samiti,"Patlikuhl, Katrain",Kullu,chaitanya9000@rediffmail.com,NOT AVAILABLE,91-94188 45600,,Welfare of downtrodden.
Himachal Educated Un-Employed Youth Society,"Krishna Bhawan, Nr. Aukhland House School Gate, Lakkar Bazar",Shimla,jugalthakur@yahoo.com,NOT AVAILABLE,,91-177-3200130,Social services.
Himachal Help Line,"C/o Arora Cloth House, K.B Dharamshala",Kangra,himachalhelplie@gmail.com,NOT AVAILABLE,91-94180 10940,,Support Himachal tourist places.
H.P. Shiksha Society for Education,"C/o Yash Sharma Uphill Lode, Behind Laxmi Naryan",Shimla,jugalthakur@yahoo.com,NOT AVAILABLE,91-98820 36436,,Social services.
Himachal Pradesh Voluntary Health Association (HPVHA),"Hpvha Complex, Bus Stand Sector 2, Phase-1",Shimla,hpvha3@gmail.com,NOT AVAILABLE,94183 27253,0177-2670132,Social Work.
Himachal Productivity Council,"Udyog Bhawan, Shimla",Shimla,ashokaks@hotmail.com,NOT AVAILABLE,91-98160 77777,,Capacity building for productivity and Environment.
Himalayan Eco Horticulture Society,"Panghumas, Orchards",Shimla,info@ecohorts.org,NOT AVAILABLE,,91-177-2623016,Sustainable farming with an environmental conscience.
Green Himalyan Welfare Society,"Sita Niwas, Bara Bhuin",Kullu,thakursudershan@gmail.com,NOT AVAILABLE,91-98172 87340,,To develop the tourism and social activities in the region.
Himalayan Nature Society,"52, Gamru, Kotwali Bazar",Kangra,friendsforanimals@gmail.com,NOT AVAILABLE,,91-1892-220367,Environmental protection and animal welfare
Himalayan Nature & Environment Preservation Society,"Om Bhawan, Chaura Maidan",Shimla,council@nde.vsnl.net.in,NOT AVAILABLE,,"91-177-255771, 91-177-220998","Environment, Forestry, Science and Technology, Sustainable Development"
Himalayan Village Education Trust,"Khudgoth, Dalhousie",Chamba,alokisabelle@gmail.com,NOT AVAILABLE,91-94180 90301,,"Education, women empowerment, rural development."
Himalayan Van Aushidhi Utpadan Avam Sanrakshan Parishad Himachal Pradesh,Shimla,Shimla,him.va.aushidhi@gmail.com,NOT AVAILABLE,91-94184 56918,91-177-2843471,Medicinal plants
Himalyan Educational And Welfare Society,"Darka, Bhuthi, Kullu",Kullu,himalyaneducationalsociety@gmail.com,NOT AVAILABLE,94593 41473,,"Agriculture, Animal Welfare, Anti Drug Campaign, Art And Craft, Art And Culture, Awareness Generation, Child Labour, Child Rights, Child Welfare, Development (General), Disaster Management, Distance Learning, E-Governance, E-Learning, Economics And Finance, Education, Employment, Environment, Forest Management, Forestry, General – Social Welfare, Health, Human Development, Human Rights, Information And Communications Technology, Local Self Governance (Panchayati Raj), Micro-Enterprises, Pollution, Population, Poverty, Rehabilitation, Rural Development, Science And Technology, Right To Information, Trafficking Of Women, Tribal Development, Volunteers, Waste Management, Wildlife, Women Development/Welfare, Women’S Issues, Yoga, Youth."
Himachal Nav Nirmaan,"Dhauladhar Colony, Maranda",Palampur,ankurawasthi@hotmail.com,NOT AVAILABLE,91-98169 03949,,"Development, culture, education, health."
HIMTECK,Kangra,Kangra,stakveer@gmail.com,NOT AVAILABLE,,91-1970-223477,Education.
ICED – Integrated for Computer Education and Communication Development,"Ward No. 11, Chotta Chowk",Sirmour,iced_nhn@rediffmail.com,NOT AVAILABLE,,91-1792-226227,For self employment and basic of computer.
Himayalan Vikas avam Paryavaran Samiti,"Anji, Barog",Solan,hvaps@yahoo.co.in,NOT AVAILABLE,91-94184 57308,91-1792-227308,"Education, health, nrm, water, agriculture, animal care, rural development, care for envioronment."
HIMOARD – Himalyan Organization for Organic Agri-Products Research & Development,"Khaneri, Shimla",Shimla,"drrsminhas@gmail.com, himoard@gmail.com",NOT AVAILABLE,,91-1782-233643,Promotion of organic farming in Himalyan region.
Jagdamba Technical Social Organization,"Bhambla, Sarkaghat",Mandi,jtsorg2009@gmail.com,NOT AVAILABLE,91-98173 35291,,General welfare of community.
HVS-Himgiri Vikas Sansthan,"Maniara, Pahra Palampur",Shivnagar,himgirivikashsansthan.org@gmail.com,NOT AVAILABLE,"75036 65413, 82857 35215",,"Community Development, Socio-Economic, Education and Health."
Himachal Manav Seva,"P.O.B 55, GPO",Shimla,,NOT AVAILABLE,,91-177-2221246,Rural Development
Institute for Social Work,"C/o 8, Sushekhar Niwas, The Dhauladhar Co-operative House Building Society Ltd, Holta Palampur",Kangra,isw.2010@rediffmail.com,NOT AVAILABLE,91-97360 85514,91-1894-234280,Social work
Jan Chetna Avum Seva Samiti,"Khashdhar, Chirgaon",Shimla,jancasamiti@gmail.com,NOT AVAILABLE,"94590-91919, 98168-60963",,"Advocacy On Social Issues, Anti Drug Campaign, Awareness Generation, Cultural Heritage. , Cultural Issues, Local Administration, Local Self Governance (Panchayati Raj), Rural Development, Social Awareness, Yoga."
KID – Know Well Info Domain,"1003, Bachhal",Kangra,rajneekid@yahoo.co.uk,NOT AVAILABLE,,91-1892-26570,Disability education and environment.
Jan Sewa Ahram,"Jabli, Solan",Solan,"jsadixit@yahoo.com, jsadixit@gmail.com",NOT AVAILABLE,,91-1792-277210,Livily hood of the poeple.
Kalgidhar Trust,"Gurudwara Baru Sahib, Rajgarh",Sirmaur,delhi@kalgidhartrust.org,NOT AVAILABLE,,91-1799-276031,
Himalayan Foundation,"Post Office Building, Dhali",Shimla,pramodsharma@ymail.com,NOT AVAILABLE,91-94180 55158,,Social service
Mahila Jagrup Vikas Trust,Shimla,Shimla,manishshimla23@yahoo.com,NOT AVAILABLE,91-94592 76101,,Women empowerment.
Mahila Kalyan Avam Vikas Samiti,"Nerwa, Shimla",Shimla,mkevs nerwa@ rediffmail.com,NOT AVAILABLE,91-98163 02579,91-1783-264471,Rural developpment.
Mahila Avam Jan Kalyan Abhiyan Society,"Thakur Vatika, Near Hanuman Mandir",Shimla,seemakumari_79@yahoo.co.in,NOT AVAILABLE,91-93188 31150,91-177-329009,Social work empowerment of women.
Mahila Samaj Kalyan Samiti,"Shaya Chabron, Rajgarh",Sirmour,devkhadrai@yahoo.com,NOT AVAILABLE,91-98051 61439,,Rural development.
Mata Bhekli Education & Welfare Society,"Krishna Palace, Main Road Dhalpur",Kullu,bhekli@rediffmail.com,NOT AVAILABLE,91-98574 02020,91-1902-223549,"Social, educational, welfare."
Mahilla Kalyan Vikas Samiti,"Nerwa, Chopal",Shimla,mkevsnerwa@rideffmail.com,NOT AVAILABLE,91-98168 09823,,"Development, education agnist a child labour."
Manav Seva Sansthan,"Manav Seva Sansthan, Berthin",Berthin,,NOT AVAILABLE,,91-1978-266011,"Agriculture, Rural Development"
Maa Bharagi Devi Educational Society,"Tikker-Batol, Pachhad",Sirmour,srhajay016@gmail.com,NOT AVAILABLE,91-94180 18633,,To find grants from the other sourse and utilize the budget for the development of rural youth.
Misaal An Innovation,"Parikrama, Near Iph Rest House, Surara",Chamba,misaal_innovation@outlook.com,NOT AVAILABLE,"80912 34334, 98550 88872",,Social Work.
Mountain Forum Himalayas,"subham Cottage, 1st Floor, BCS Phase 3, Near Block 20",Shimla,achandan@hotmail.com,NOT AVAILABLE,"91-94180-10624, 91-94590 20513",91-177-2673439,Social action.
Maharana Pratap Jan Kalyan Sanstha,"Mandhol, Mandhol",Shimla,,NOT AVAILABLE,,91-1781-243541,"Disadvantaged communities, Women’s issues"
Nav Nirman Welfare Society,"Ekta Niwas, Below Sunrays School, Ghora Chowki",Shimla,navnirmanwelfare.org@gmail.com,NOT AVAILABLE,91-98574 88152,,"Education, health, water, women empowerment, child development, rural development, disability etc."
Mountain Research & Development Associates,"Pranav Niwas Dhalli, Shimla",Shimla,santvan@hotmail.com,NOT AVAILABLE,91-94181 41767,,Development of mountain area.
New Era Welfare Society,"Rajakhasa, Kangra",Indora,navdeeps72@gmail.com,NOT AVAILABLE,88942 10072,01893-244822,"Agriculture, Education, Old Aged Welfare Education, Old Age Welfare, Shelter Home."
NOYRD,"Gummer, Kangra",Kangra,himcontact@gmail.com,NOT AVAILABLE,91-94184 00003,,Social activity.
Ocean Ngo,"Hans Bhawan, Racholi, Khaneri, Ramur",Shimla,oceanngo68@gmail.com,NOT AVAILABLE,94182 08186,0178-2233686,"Adolescent Girls Welfare, Anti Drug Campaign, Awareness Generation, Cow Protection Centre (Goushala), Disaster Management, Education, Employment, Environment, Grants/Aids, Hiv/Aids, Human Development, Human Rights, Legal Awareness, Livelihood, Ngo Management, Old Aged Welfare, Plantation, Rehabilitation, Rural Development, Sex Workers Welfare, Shelter Home, Social Awareness, Right To Information, Trafficking Of Women, Urban Development, Women Development/Welfare, Women’S Issues, Youth Health Awareness Programme."
Jaswal Educational Trust,"Jaswal House, Vikas Nagar",Shimla,khushaljaswal@gmail.com,NOT AVAILABLE,,91-177-2626004,Education for the rural youth.
PAPN – People’s Action for People in Need,"Andheri, Sangraha",Sangraha,papnhp@sancharnet.in,NOT AVAILABLE,,"91-1702-248242, 91-1702-248158","Child welfare, Development(General), Education, Environment, Health, Micro-enterprises, Training, Women’s issues"
Nav Nirman Kalyan Samiti,"Kachhor, Darkata",Kangra,,NOT AVAILABLE,,91-1892-266416,"Disadvantaged communities, Education, Employment, Health"
Mata Santoshi Education Society,"Mohtli, Indora",Kangra,ms_instituteofeducation@ymail.com,NOT AVAILABLE,91-93185 59350,91-1893-244272,"To provide moral, physical, accademic, cultural, religious and technical education."
Nav Chetna,"Attri Niwas, Near R.K. Traders, Khalini",Shimla,info@navchetna.ngo,NOT AVAILABLE,9888754488,,"Health, education, rural development."
PAHAL – People’s Action for Himalayan Awakening and Livelihood,"Surat Palace, Nahan",Sirmour,jyotsna_chahal@rediffmail.com,NOT AVAILABLE,91-94180 74441,91-1702-224353,"Adolescent empowerment, youth development and women mobilization."
